entity,attribute,answer
吉塞尔岛,人口数,6000
异戊酸甲酯,管制类型,不管制
董平,排名,15
新疆农业科学院粮食作物研究所,单位性质,科研事业
叶南温泉,所在地点,兴宁县城西北13公里
建基alp-330,适用网络类型,快速以太网
休闲外套装,操作说明,鼠标拖动服装到人物身上装扮
聚合物成型加工工程教育部重点实验室,所属机构,华南理工大学
球花组,科目,兰科
真不同,获得荣誉,中华老字号
丹源42,认定编号,蒙认玉2003005号
格里芬湖,最大深度,32m(105ft)
神秘的梦之红狐事件,游戏授权,免费软件
大宝,原文名称,taihou
李贞贤,个性,直率，反叛，友好，博爱
公元648年8月18日,详细内容,见正文
中国老科学技术工作者协会农业分会,办公地点,北京市朝阳区东大桥农丰里七号
sts-51-b,成员人数,7人
都峤山风景区,其他信息,省级风景名胜区
鄱阳湖候鸟国家级自然保护区,保护物种,天鹅、灰鹅、白枕鹤、白头鹤白枕鹤、白头鹤、鸳鸯、鹈鹕
mapreduce,本质,一种编程模型
罗马尼亚国旗,使用时间,1994年7月16日
h型高血压,就诊科室,内科，心血管内科等
坰,简体部首,土
嚼头,解释1,指经得起咀嚼的厚味
诺曼底战役,伤亡情况,12.2万人飞机3500架，坦克1.3万辆，各种车辆2万辆，人员40万
retonkvm-1701d,功率(w),≤46
w32.navidad病毒,行为,向“未读”的邮件接收者发送邮件
中国共产党第十六届中央委员会第五次全体会议,举行时间,2005年10月8日至11日
北京电视台文艺频道,主要栏目,《每日文娱播报》
"2,4-二硝基苯甲醚",国标编号,41013
乔治·索恩,2011,4
长谷川信彦,运动状态,退役球员
世纪大道,道路总长度,5.5公里
尼康af-s尼克尔28mmf/1.8g,镜头用途,广角镜头（定焦）
2014年南京青年奥林匹克运动会,届数,2
惠普storageworksx1600,网络协议,"cifs,nfs,ncp"
提案中国·全国大学生中国人民政治协商会议提案大赛,承办,外交学院知行学会
日本,国际电话区号,81[2]
舒马曲坦,atc编码,n02cc01
中国共产党第十一届中央委员会第四次全体会议,举办地,北京
下里巴人,原意,原指战国时代楚国民间的一种歌曲
浅闪石,相对密度,3.06
番禺区汇贤小学,荣誉,被评为区一级学校
王家沱站,车站货运,办理整车货物发到
尼康afmicronikkor105mmf/2.8d,焦距范围,105mm
快银,首次登场,《x-men》#4（1964年3月出版）
广东省新兴中药学校,副校长,苏秀芳
中国2010年上海世博会香港馆,展馆主题,无限城市——香港
北京荣宝宾馆,餐饮,西餐厅
乔布斯传：神一样的传奇,版次,2011年10月第一版
枢条,血型,b\
马自达2,生产年代,1996年迄今
快乐蓝天下·中国梦想秀,总导演,蒋敏昊
黄蜂级两栖攻击舰,次型,美国级两栖攻击舰
树息龙,食性,肉食
2011中国国际工业化住宅与集成建筑展览会,会场面积,逾30000平方米
银证合作,成因,内部推动和外部推动
北京公交22路,全程,11.95公里
宁波市明楼中学,学校占地面积,15940㎡
《中国芭蕾--红色娘子军》特种邮票,发行单位,中国邮政
深圳市海航飞腾国际物流有限公司,专业从事,到门运输的物流商
林晖闵,偶像,五月天、罗志祥、superjunior
多花粉叶栒子,海拔,1900-3000
莱克斯netoraysmb-80,局域网接口,5-1个
乌斯,官方语式,新挪威语
蓝魔w13prov2.0,分辨率,1024×768
水原希子,鞋码,23cm
海略,• 人口增长（10年内）,-0.08 %
织部里沙,艺名,lisa
神舟精盾k500b-i7d2,产品定位,家庭娱乐本
中国电力建设集团有限公司,公司简称,中国电建
爱朵儿,管理理念,严格，自发，诚恳，成长
丘克国际机场,四字代码,ptkk
断头崖组,阶代码,z1
美俗,历史资料,《汉书·何并传》
晋江市地名志,指导,马列主义、毛泽东思想等
摩普mf-3000c,产品电压,5v
烟台抽纱技艺,所属地,山东· 烟台
聂风,武功,冰心诀、风神腿、聂家步法
小鱼跃龙门,驻站日期,2012-05-13
测绘工程专业,授予学位,四年
崔明浩,特长,影视表演、跆拳道、打击乐
尤金·舒梅克,公民权,美国
惠而浦m700d白,开门方式,顶开式
万家乐jsq36-18e3,热水产率,18升/分
youandi,歌手,steviewonder
联想thinkpadx121e3051ab5,核心/线程,双核心/双线程
missk,公司简介,missk自1991年创立伊始
利物浦大学,世界排名,123（qs2014）
动物转基因技术,相关法律,农业转基因生物安全管理条例
河蚌,食物,藻类泥沙里面的微生物
高松城,建造年份,不明
桂林七天乐商务宾馆,客房数量,65间
四彩炸酱面,制作步骤,香干切成
顾洁,主讲课程,ee301：电气工程基础
逈,五笔98,tmkp
东南大学,发展目标,2035年左右建成世界一流大学
长江西路高架桥,开工,2009年7月14日
文件目录索引小助手v2006.5,软件大小,1089kb
亚特兰大足球俱乐部,球衣供应,nike
球座尾孢,拉丁纲名,fungiimperficti
民族路,通车长度,7.2公里
脂,相关词语,脂水脂炬脂韦
东京都,• 都会区,"35,676,000"
哈其麦节,节日意义,传统纪庆节日
长春吉林省交通宾馆,周围环境,胜利公园、儿童公园、牡丹园
善业泥像,样式,长方形、正方形和半圆形等
油田回注水阻垢剂,外观,无色或浅黄色均匀液体
七色★星露,角色配音,有（主角外）
伊莲娜·扬科维奇,握拍,右手握拍，双手反拍
西河公主,夫之父,郭暧
陈皮嫩鸡,特点2,麻辣香嫩
巴萨帝,力量,5
廊坊大信容器有限公司,详细地址,大城县城西季村飞天工业园
新界区专线小巴26线,竞争交通,九龙巴士274p线（只在早上繁忙时段服务）九龙巴士87k线↔港铁九龙巴士74k线
宙斯,居所,奥林匹斯山
持粘力试验仪,净重,20kg
南宁欣达利尔酒店,酒店类型,经济型
上海思博恒业电子科技有限公司,方针,务实求实、科技兴业
嚼头,解释2,嚼起来有韧性
hbo,播出地区,美国全国
荒野之恋,连载杂志,nakayoshia
西贝乐xbl-1101m,电机功率,170w
arms-阿姆氏指标,计算公式,r=上涨家数/下跌家数
堆垛架,承载,最大1500kg
中国门模大赛,主旨,促进我国门行业的发展
毛利兰,配音演员,山崎和佳奈
撞栏哥,所属学校,海口经济学院
练红霸,罗马音,renkouha
大生产,品牌名称,“生产”
斯路83,产量表现,良好
备尝,条目,备尝
乐驾a500,定位精度,2-5m
餐饮业食品索证管理规定,生效时间,二〇〇七年十月二十二日
西默xmswr-a80,广域网接口,2或4个
深圳市维冠视界科技有限公司,旗下品牌,特雅丽 赛维
鸭兔图,相关书籍,《鸭子！兔子！》
格之格nt-c2612x（兼容hpq2612a）,打印页数,2500页
三亚凤凰国际机场,所属集团,海航集团
磁钟乡,著名人物,万历皇帝，刘昭君
三菱scan50s5914,点距,0.28mm
剑墟,传说,上古神魔的铸剑之地
张佳丽,科室,山东省立医院肝病科
北京光彩教育基金会,发起者,北京光彩教育
英国宪章运动,起始时间,公元1836年
infect.anad,病毒类型,未知
nd5内燃机车,牵引力,534kn（最大）360kn（持续）
汉寿亭侯,谥号,壮缪侯
八九不离食,节目名称,《八九不离食》
上冢宰许公书,文学体裁,散文
株洲市耕地开垦费征收使用管理实施办法,印发时间,2011年3月15日
镇安社区,辖区总面积,92346平方米
倒立鱼,体型,小型
标准工作日,规定,由法律规定的
瓷砖故事,推出,2013年
光滑皮毛外衣,智力,35
豹i式主战坦克,事迹,1965年9月交付联邦德国陆军
sts-51-f,发射地点,佛罗里达州肯尼迪航天中心
俄罗斯2s19型152毫米榴弹炮,悬挂系统,扭杆式
佟童,父亲,佟瑞敏
p-59战斗机,研发单位,贝尔公司
一个孤儿的成长励志经历：帆的孤独啊,译者,赵莹
石塘镇,名誉,入选第六批国家历史文化名镇
郑糠云,出道,2004年
泰山岩群,地区代码,15
火州,名字由来,元代文献根据维吾尔语qara-hoja
沁水鼓儿词,申报日期,2006
芙蕾·阿尔斯塔,瞳色,灰色
合福客运专线,通车日期,2015年7月
盖州,市委书记,班耀康
子,统一汉字,u+5b50
羊献容,相关事件,五废六立两朝为后
兰渝铁路,设计时速,兰广区段200km，广渝区段250km
浪潮as300s,系统支持,windows、linux、solaris、mac等
京东,ceo,刘强东
七彩虹igame560ti烈焰战神x-aird51024m,显存容量,1024mbgddr5
净土寺塔,塔高,约30米
经济日报,版式,宽版
黄机,字号,"次辰,雪台"
honeywellhsdn-251ps,成像色彩,彩色
火中凤凰,美术,徐虔qianxu
俄罗斯,国际域名缩写,ru
epic7,应用开发,milkstonestudioss.l.
计算机专业,主要课程,电子技术、离散数学
老爸老妈的浪漫史,首播日期,2006年9月18日－2007年5月14日
漕,汉字结构,左右结构
德里克·费舍尔,2012,俄克拉何马城雷霆
飞利浦aj3500/93,产品重量,680g
酸白菜猪肉馅包子,特色,:塞北人冬季出镜率极高的腌菜
岩滩水电站,库容,26.0亿立方米
小白修复助手,使用类型,系统工具
大邱广域市,• 文化观光部2000年式,daegugwangyeoksi
萨隆加国家公园,地区**,非洲
山水817c(256mb),录音时间,140小时
新界区专线小巴403a线,讫站服务时间,0630-0000
纯韩螺旋吸脂,内容一,纯韩螺旋吸脂优势
方解石,光泽,玻璃光泽
中茵丽景星城,小区建成年份,2008年9月
爱情来临,曲,李晓
佳能ir2020s,复印速度,20ppm(a4)
封神演义之一代妖姬,下载次数,2985
陕北匠艺丹青,项目编号,872ⅶ-96
西门子数控系统,产品种类,802d、810d、840d等
众一zy-h368,wap上网,支持飞笺
多级行文,是指,将公文同时发送给上几级
爱魅ct-620,fm收音功能,有
zyxelzyairg-5100,网络接口,rj45
尼克尔800mmf/5.6if-ed,镜头结构,6/8
编后,禁忌,编者按和编后不可同时运用
向上青春,歌词,那时候你穿着
布里斯托尔城2011年至2012年球季,首席射手,联赛：乔纳森·斯特德（jonathanstead，9球）所有赛事：乔纳森·斯特德（jonathanstead，9球）
李忠,民族族群,汉族
些路迪足球队,内容二,主场球场
美乐乐家具网,重要人物,高扬、袁伯银、黄辉
什川吊桥,桥长,435米
三菱a1sx42,控制,自动化
燕文贵,擅长领域,山水、屋木、人物
唯是me501,阻抗,16欧姆
inteld945gsejt,内存类型,ddr2
sdd2型内燃机车,轮径,ф1050mm
射雕英雄传,无线电视翡翠台首播,第1辑：1983年2月28日-3月25日第2辑：1983年5月2日-5月27日第3辑：1983年6月27日-7月22日
远东航空134号班机空难,受伤（非致命）,48
北区,• 马科恩-赖肖尔表记法,puk-ku
胶济客运专线,主要城市,青岛、潍坊、淄博、济南
迷失的女人,录音,陈明
陶朗加,纬度,东经176度10分
桂花苑,新房类型,住宅、商用楼
钱冈,所在院系,安泰经济管理学院经济系
2012第8届中国（上海）国际室内供暖系统、热泵及通风设备展览会,展览地点,上海浦东新国际博览中心
缂金婴戏图,制造年代,明
缅甸,国家代码,mya
大天使之剑,当前版本,《魔剑觉醒》[1]
采夫赖拉坝,总装机容量,20万kw
鱼子,营养,蛋白质、钙、磷、铁、维生素
binkw32.dll,dll名称,binkvideoplayerdll
sailfish手机,词条类型,生活词汇
堰口镇,主导产业,棉花、油菜、粮食
燕达国际医院,床位,3000张
遇,注音,ㄩˋ
dkz15,供电制式,750vdc（第三轨供电）
维森特·阿兹,球场位置,中场
《两个爸爸》,播出平台,三立都会台
金航大厦,物业地址,万航渡路83号
小王集村,村里单位,小王集村党支部
撕裂乐队,吉他,李楠
夕阳西沉的时间,连载期间,连载中。
锡布延岛,人口统计数据,52615（2000统计）
金汝静,哥哥,金正恩
厄瑞玻斯,司掌,黑暗、阴间
永阳yy-5412,前置接口,usb/音效输出
水木剧场西游记,许可证号,（浙）字第540号
华擎ad525pv,usb接口,8×usb2.0接口
海卫十一,表面重力,0.010m/skg
金孝元,朝鲜汉字,金孝元
dkz15,车辆宽度,"2,800mm"
新庄站,乘客人数-统计年度-,"1,605[1]人/日（不含下车乘客）-2013年-"
磐英pdb-r,芯片组,440bx
科士达hp910h,输入电压范围,160-276v
宜居畅通卡,货币单位,元
攀着芒果树枝的药叉女,原属,印度
新集镇,管辖,42个村委会
我的中国梦最美中国,主办机构,易班网、湖南教育电视台
安智科技,总部位于,西安
净梵寺大殿,建筑面积,235平方米
落的传承,原名,folklore
湛江日报,创刊日,1948年12月25日
李欣翰,现今排名,-
清华同方超扬a3240-b005,cpu频率,2.9ghz
工字打出头,制片国家,香港
次氯酸钙,化学品类别,无机物--次氯酸盐--钙盐
海王星,逃逸速度,23.5km/s
外围女,相关事件,海天盛筵
三星i916,上市年份,2010年
广教寺双塔,始建年代,唐大中三年（公元849年）
绿城通,首发日期,2013年12月28日
肥肠粉丝汤,菜系及功效,家常菜谱
hbo,有线电视,65频道(南国有线电视：61频道，天外天有线电视：64频道，大扬有线电视：66频道)
石围角邨,入伙年份,1980年
横头磡邨,屋邨类别,租住屋邨
茅崎站,车辆长度,分别为1号线与2号线4卡
玉吉买阿依拉村,农产品,蕹菜，大蒜等
英国海王-mk2空中预警直升机,机长,22.15米
南洞水库,坝高,29米
兰利号航空母舰,火炮武器,26门40公里机炮，22门20公里机炮
委内瑞拉国家足球队,足球协会,委内瑞拉足球协会
沙角邨,房屋机构,香港房屋委员会
沙角邨,楼宇座数,7
景颇语,主要分布,在中国云南省德宏傣族景颇族自
春玉2号,审定时间,2006年4月审定通过
mobotaskkillerpro,发布时间,2011-10-22
金长城772mb,显像管类型,纯平
临潭县塔那清真寺,现任教长,马永祥
可洗式全金属过滤网,应用,办公楼、会议室、医院、商场
雪山阳光行政酒店,房间类型,商务套房、商务标间、商务单间
男鹿国定公园,主管团体,秋田县厅
新巴4号线,路线性质,循环线
我要拼,歌曲标签,港台国语
hkag-c/glm榴弹发射器,意为,附加型榴弹发射器模组
波能坦克,制造方,神奈川工业
厚德邨,单位数目,"4,200"
徕卡duovid10+15x50,放大倍率,10-15
北苑路北站,所属行政区,北京市朝阳区
歼-10,首飞,1998年3月23日
黄铁矿,折射率,无
全自动密度继电器测试仪,显示方式,8寸800*600真彩液晶显示
吸血鱼,体形,1997年发现条13.4厘米
歌美b9+,机身尺寸,80×40.6×13.8mm
尚酷,座位材质,真皮
大安区,行政区管辖,台中市
罗伯特·舍伍德,生卒,1896－1955
梓心诗苑,组织性质,非营利组织
东便门桥,最大跨度,35m
佳能ef50mmf/1.8ii,镜头卡口,佳能ef卡口
满堂红扑克,应用类型,： 棋牌天地
丽珑370btv,液晶板类型,tn
王天石,现居,北京
辣椒紫苏炒花蛤,主料,一斤半
赫歇尔空间天文台,组织机构,esa
普救寺,东西宽,200米
万和jsd20-10b-7,额定热负荷,20mj/h
koyo23064rk+h3064轴承,d(内径),300mm
斯普莱poe-48int,设备类型,poe供电模块
愿望机器,小说字数,117万
dissipationfactor,词意,电解电容的无用功率与有用功率比
杜兰尼帝国,国庆日,1747年
明基joybooks46-xc10,最大支持内存,8gb
龙粳38,父本,上育418
豆齿龙,身长,约1.3公尺（4呎）
敌忾,【释义】,抵抗所愤恨的敌人。
创维m19la,电源功率,44w
丙肝检测试剂,包装规格,1人份/袋
蚨蚕子,上司,银鍠朱武、晦王
道法传奇,总监制,吴纲
拉普拉塔,面积[1],7.45 平方英里（19.30 平方公里）
西安能源动力职业培训学校,面向,全国招生
南纪白浜,是,面向太平洋的和歌山县南部地区
永福汽配城,投资公司,广州市启基经济发展有限公司
微水电利用工,主要工作,建造和安装
益母芪茶,用途,闭经；月经不调。
天平山真人cs,各方兵力,3030
福源九方,物业办公地点,天津市滨海新区汉沽福源九方12号楼0102
瑞马集团,创建日期,1993年
r57减速机,功率,0.18kw～200kw
霎,本义,滴答雨声。嘈杂的雨声
nachi120kbe031轴承,b,78mm
尼尔斯·玻尔,施影响于,维尔纳·海森堡沃尔夫冈·泡利保罗·狄拉克莉泽·迈特纳马克斯·德尔布吕克和其他多人
健明邨,单位面积,17.4-49.1m²
特别攻击队,日语旧字体,特別攻擊隊
家有六子,接档,我的帅管家
德阳安装技师学院,举办单位,中国机械工业建设集团有限公司
高车村,土地总面积,178.5336
温州市龙湾永兴固工阀门厂,总公司,位于大连市中心
三疣梭子蟹肉,功效,清热凉血、祛风止痒
无水焦磷酸钠,分子式,na4p2o7
亚洲太平洋经济合作组织,领导人,2015年举办国
山姆·约翰斯通,2013,7
拜泉芸豆,地理标志,农产品地理标志
元宝区民政局,职责调整,6个
广州国际龙舟邀请赛,赛事类型,五星级赛事
桃洪村,特色产业,暖鞋加工
河南省残疾人联合会,理事长,李国成
诺丁丘大门站,行政区划,肯辛顿-切尔西
8·3鲁甸地震,震源深度,12千米
综漫之冰蓝,文章状态,已完结
喜羊羊与灰太狼之喜气羊羊过蛇年,出品方,上海炫动传播股份有限公司北京优扬文化传媒有限公司广东原创动力文化传播有限公司
罗氏胶原蛋白软胶囊,净含量,500mg×100粒
如圣散,组成,乌梅、棕榈、黑姜
中优368,穗长,25.6厘米
向能武,工作职责,协助管理住房和城乡建设
华帝jzt-i10004b,点火方式,脉冲电子点火
吴哥的微笑,投资方,云南文投集团
伞菌,质地,多为肉质，含很少膜质或革质
房道龙,人物关系,成龙的父亲  房祖名的爷爷
恭城河,集雨面积,3208平方公里
三星洗衣机wf-r865/xsc,自动化程度,全自动
花嫁,后期,小吴太太
鸿顺园东区,轨道交通,房山线
日本晓级驱逐舰,标准排水量,1680吨
新联社区警务室,流动人口,2339人
淄博精超化工有限公司,年产量,15000吨
方中信,家人,妻子莫可欣，女儿符迦晴
石硖尾汇丰银行纵火案,受伤人数,1人[1][2]
七美机场,营运单位,德安航空
自强隧道,结束,台北市士林区
半钢轧辊,通称,“半钢”
田海蓉,影视成就,陶米纳国际电影节银奖、金鹿奖、最佳女演员奖
西苑站,所属线路,北京地铁4号线/北京地铁16号线
轮岛鼢鼠宝儿,状况,已灭绝
朝晖苑,楼层状况,共6层
钻石pb50-v3,芯片组描述,596a
台湾高山茶,色泽,墨绿有光泽
皇姑区少年儿童图书馆,藏书,4、3万余册
保险消费者,泛指,投保人、被保险人
成都远洋太古里,发展商,太古地产及远洋地产
光复路,速限,km／h
贵州省企业职工基本养老金计发办法,颁布部门,贵州省劳动和社会保障厅、财政厅
lgbh12ls38,接口类型,sata
世纪银座公馆,资产,40000万元
栓剂封切机,生产能力,6000-14000粒/小时
fsm-6000,测量精度,±20mpa
乐安公主,同胞兄弟,朱由模
狮子·女巫·魔衣橱,下一部作品,奇幻马和传说
福江机场,服务城市,长崎县五岛市
提帕斯火山,地质学,全新世
毒蝎兽,等级,成熟期
任e行ux-3,存储扩展,支持sd/mmc存储卡
偏移,词语,偏移
顾曼璐,作品原名,《十八春》
新屋乡,机关网站,新屋乡公所
赵嘉敏,所属团体,中国大型女子偶像团体snh48
给利王导购网,理论,按照蜂群效应理论
广东省各级人民代表大会常务委员会规范性文件备案审查工作程序规定,公布,2007年7月27日
台23线,路线图,富东公路
美尼尔氏综合症,omim,156000
便携式bod快速测定仪,重量,约10.5kg
艾萨克·牛顿,逝世地,英国 伦敦肯辛顿
彦,繁体字,彥
海因里希·奥托·威兰,博士学生,罗尔夫·胡伊斯根
南京市,下级行政区,11市辖区
贡巴昂,青海省文物保护单位,青海省文物保护单位
隰州,文献记载,《元和郡县图志》
广州穗程威尼国际公寓,主楼高,31层
亚丁湾,平均水深,500米
2010第十届北京加盟连锁展览会,批准机构,北京市商务委员会
乡镇经济,cn,34-1016/f
蒜拌双菇,烹饪方法,凉拌
白龙湖风景名胜区,库容量,267亿立方米
德国海盗党,欧洲议会,1/96
牧野枣,妹妹,牧野晶，牧野冬
联想a750e（电信版）,曝光日期,2012年3月
马爱民,任教专业,理学-生物科学类
万和cxw-200-x07a,最大风压,300pa
犬眼虫病,临床表现,初结膜充血，眼球湿润，怕光流泪，继之，有粘性分泌物流出，结膜囊和瞬膜下有密集的谷粒状小囊泡。
西昌凤凰大酒店,经营面积,4800余平方米
上海海光电机有限公司,资产净值,4000万元
滦港铁路,营业里程,75.662公里
新戊二醇二苯甲酸酯,闪点,大于218℃
2014年冬季奥林匹克运动会马其顿代表团,历届奥运会纪录,历届奥运会纪录
香兰车站,月台型数,岛式月台一座
左权将军殉难处,山西省文物保护单位,山西省文物保护单位
六道仙人,弟弟,大筒木羽村
菏泽优姿电子商务有限公司,企业目标,做中国式药妆的扛旗者
福建洲际大酒店,周边,大型豪华商场、著名商社鳞次栉比
鬼面离魂,书籍作者,雾语轻弥
香港佛教,发展方向,文化，教育，弘法和慈善事业
8749,手段,删除系统文件
自我复原,威力,未知
广汽本田,员工数量,8000多人
技嘉ga-780t-usb3,cpu类型,phenomii/phenomii
zte中兴s191,外壳颜色,橙灰色
豆荚形玉坠,【年代】,明代
交流河组,地层单位编码,01-22-0186
阴离子蜡乳液专用乳化剂,含量,≥99%
worm/netsky.ab,传播方式,网络
燕园街道,辖区,北京大学校园
美的tpc32c,产品材质,铁
genvas（君华仕）,创立地点,意大利佛罗伦萨
天翱s435-a,产品机型,机架式
乐湖居巴士总站,途经路线,专利巴士：2居民巴士：5
云儿飘飘,内容三,文摘
百草妙医,通用名称,扶正解毒散
fag6311-2rsr轴承,外径,120mm
江晓斌,民系,江右民系
中信·博鳌山钦湾,区域所属,琼海市(博鳌区)
千叶市,市鸟,小鯵刺
2012评剧名家名段新春演唱会,演出票价,680，380，280，180，100，50
童可可,现居住地,北京市朝阳区
明基ms5001,投影亮度,2500流明
识仁篇,类似,《定性书》
达拉斯星,队长,mikemodano
星空qq球,游戏模式,计数模式、寻宝模式
燕单202,亲本组合,燕2030×燕2045
河麂,亚种,inermis
异柠檬酸脱氢酶,kegg,kegg入口
上海国利货币经纪有限公司,组建,上海国际信托投资有限公司
长城至翔e320g2-hs,标配硬盘容量,36gb
阿斯兰·萨拉,朋友,基拉、拉克丝、伊扎克等zaft战友
巴可lampelm10/12series3kw,其他性能,barco专用灯泡
画出多米诺骨牌,游戏简介,多米诺骨牌是一种用木制
ngc1181,历元,j2000.0
dkz13,车辆高度,"3,800mm"
明基joybooks46-xc10,硬盘转速,5400rpm
升技ai7,cpu插槽类型,socket478
长城x10,输出接口,双usb输出
金秀贤,粉丝名称,kmoon（中国）
落可崠群,地层地质年代,qn
广州地铁1号线,路线类型,地下/地面
柳塔河,集水区面积,"3,400平方公里"
维a酸,半衰期,0.5-2hours
华为u8825d高仿三星gs3风格ui,rom作者,蓝枫丶鹏
旅游厕所质量等级的划分与评定,实施,2003-05-01
给杨幂换装,游戏名称,给杨幂换装
白星,初次登场,漫画第612话，动画第531集
netscape.exe,使用网络,是
综合资金成本率,表现形式,加权平均资金成本、边际资金成本
slightlymadstudios,2014,赛车计划
利奥八世,就任,963年12月6日
《非我莫属》,曲目数量,16
新左营车站,站台形式,岛式月台
饥饿游戏,印张,10.375
连云港市恒康医院,经营性质,营业性医疗机构
沙丘城碑,出土,1993年
大生产,诞生,随着新中国的成立而诞生
布隆迪,道路通行,右驾右行
安东尼奥·德拉克鲁斯,欧洲三大杯,出场38次，进0球
今麦郎,生产基地,河北省邯郸市、秦皇岛市，哈尔滨
瓦列霍市,问题,妓女数量失控
德阳村,企业,饲料公司、化工厂、酒厂
冬天里的革命,丛书名,中经欧博管理书系
东京都交通局5300型电力动车组,设计最高速度,110km/h27编成：120km/h
夏·多拉格尼尔,配音,柿原彻也（日本）mako（幼年）李凯杰罗杏芝(幼年)李景唐展开
"3,4-二氯-6-三氟甲基甲苯",性状,无色至浅棕色液体
青春财富中心,物业类别,写字楼
瓦尔特p1式9mm手枪,全长,218毫米mm
瘿病,疾病分类,内科—肝胆病证
建信社会责任股票型证券投资基金,基金代码,530019
2011年11月25日日食,食甚,南冰洋
吉林龙山有机硅集团,正式成立,于2002年3月
美心新腾系列402,机箱颜色,白色
老炮儿,开机时间,2014年12月13日
刘滢,喜欢的运动,跳舞、散步
吕不韦,学派,先秦杂家
自助借阅图书馆,概括,是一个自费的图书馆
科视christied4k35,标称光亮度,35000
慈圣皇后,坟墓,永昭陵
西沃萨古尔·拉姆古兰爵士国际机场,机场代码,mru
药食,朝鲜语名称,약식/약밥
电子沙盘系统,实现,沙盘模型结合投影技术
春意盎然,调料,"盐4克,味精,淀粉(玉米),花生油"
三洋vpc-hd2,视频信号,pal标准
佳能mf4710,耗材类型,鼓粉一体
浙江仙通橡塑股份有限公司,年产值,5000万~1亿美金
叶县昆阳镇,村民组,34个
盟重新城,最新预览版本,刺客网络第二季刺客网络第二季
抛彩球,参考文献,《竹枝词》
黄铜矿,晶系,正方晶系
台北桃园国际机场,iata代码,tpe
杰佛湾芋螺,螺壳尺寸,24-50mm
元龙泉窑青瓷龟心荷叶碗,收藏单位,浙江省博物馆
太原诗词学会,组织性质,非营利性群众文化学术组织
贵州省油料科学研究所,在职职工,122人
地牢猎人2,适用系统,android2.1及以上
爱国者存储王hd8061.5tb,其他特点,指示灯
弥勒佛,师承,释迦牟尼
警犬,护甲,无甲
固镇县胡圩小学,教职工人数,12人人
丹田城市羽毛球馆,配置,专业地板、球网、灯光，尽情畅打
zmud.exe,病毒,:no(removezmud.exe)
马克思主义研究,社长,张战生
戴尔xps15d-118,笔记本重量,2.515kg
罗刹海市,语出,不祥之赵著剧本
河南科技学院,院士,3人
维多利亚公主,安葬,伯克郡温莎
波拉语,使用地区,云南省德宏傣族景颇族自治州的潞西、盈江、梁河等县。在缅甸北部也有分布
格兰仕b501t-30y5,适用人数,2-4个
热水镇,山地面积,19.3万亩
北海市涠洲岛旅游发展资金管理办法,文件类型,管理办法
三洋vpc-hd2,摄像机类型,闪存
酷比e66,存储卡,microsd(transflash)
祝僇祝鲠,常用程度,生僻
坚尼夫·苏贺尼,2013–,5
东向岛,人口（2013年（平成25年）8月1日）,"23,193[1]"
本州岛,海岸线,5450公里（3390英里）
鸟巢星云,距地距离,两万五千光年
苏必利尔湖,集水区国家,加拿大美国
麻正山,主要包括,53014、53015、53016、53017
海尔xqg52-q818h,内筒材质,不锈钢
世界主教会议,活动类别,会议
五福堂站,站台类型,岛式站台
山县市,市议员数,16
李嘉诚,任职机构,长江实业有限公司董事长
正睿i21s2-8684hvxeone5-2650,标准内存容量,16gb
金刀峡,景区级别,4a级旅游景区
大龙湫,最佳旅游时间,雨水丰盛的季节，五六月或八九月
holga120cfn,镜头,光学镜头，f/860mm
2010海南清水湾胡润百富榜,第一名,宗庆后
法国,gdp总计,2.735万亿美元（2013年）
1951年亚历山大港地中海运动会,发起,m·t·帕沙
房贞贞,节目,上海东方卫视《相约星期六》嘉宾
8·19埃及警察遇袭事件,情况,25名警察死亡、3名警察受伤
牛卡布,诞生于,国际时装都米兰
中国（桂林）运通国旅国际会议奖励中心,专注,为境内外跨国公司
滕州市育才中学,公交线路,6、13、19、20、k108
滇素馨,生长环境,溪边、林中
logo蠕虫,名字,worm.logo.b
雅盖沃,子嗣,艾尔兹别塔·波尼法齐雅（英语：elizabeth_bonifacia_of_poland）雅德维加（英语：jadwigaoflithuania）瓦迪斯瓦夫三世†卡齐米日卡齐米日四世
秋月级护卫舰,锅炉,4座劳斯莱斯sm1c燃气涡轮发动机
石岛桃花岛,建设规划,22.9万平方米
2te70型柴油机车,机车宽度,"3,086毫米"
景县舍利塔,创建年代,北魏
城投荔香坊,银行,广发银行城市广场支行，中国银行
山东,省长,郭树清
佟佳氏,旗籍,满洲镶黄旗
2008–09年香港足总杯,总入球数,60球（每场4.29球）
2cr20mn9si2n耐热钢,材料名称,耐热钢棒
李美凤,最喜欢的食物,生果
悬挂式甲烷一氧化碳测定器,质量,≤2kg
永久桥,重修,2007年9月28日
肉末香干油菜丝,要点,猪肉要新鲜。
韩城矿务局总医院,医院性质,公立医院
河南神风锅炉有限公司,企业性质,民营企业
龙江塘村,水田面积,964亩
华东政法大学,博士点,12个
将军外交家黄镇,拍摄日期,2012.1
东汶河,发源于,山东省中部山区
澄衷中学,改名时间,1928年
珠泉镇,辖,38个建制村
笔架山,主峰,1373米
漆黑道袍,防御,增加84
江苏省康新戒毒所,所长,倪文溧
得胜dm-2100,指向特征,单指向
花右京女侍队,机械设定,渡边义弘
舒马曲坦,drugbank,db00669
尼美舒利,药代动力学性质,
玉帘属,引种状况,非引种
印度丰收节,持续时间,四天
